# Power Spectral Density estimated with Welch's method
# Raw CSV rows: 1000000
# Preprocess method: reconstructed_uniform_time_axis
# Preprocess details: 原始时间列存在重复时间戳或非均匀步长，因此按首末时间和总样本数重建了均匀时间轴。 检测到 80002 个重复时间块，重复块长度范围为 1 到 10 行。
# Samples used for PSD: 1000000
# Sampling frequency used for PSD (Hz): 999999
# Window: hann
# nperseg: 131072
# noverlap: 65536
# detrend: constant
# Display unit: V^2/Hz
# Display formula: display = PSD_V2_per_Hz
# Reference impedance (Ohm): 50
# Peak count reported: 5
# Minimum peak prominence (dB): 6
# Peak 1: f=69564.74977 Hz, psd_v2_per_hz=1.722620836e-11, prominence_db=17.56305692
# Peak 2: f=40000.87553 Hz, psd_v2_per_hz=1.266751844e-11, prominence_db=16.07189258
# Peak 3: f=65116.81721 Hz, psd_v2_per_hz=8.669987205e-12, prominence_db=13.06382663
# Peak 4: f=17944.31799 Hz, psd_v2_per_hz=7.148190068e-12, prominence_db=12.2700983
# Peak 5: f=475356.5803 Hz, psd_v2_per_hz=6.876615323e-12, prominence_db=15.23737304
frequency_hz,psd_v2_per_hz,psd_v2_per_hz
2204.892814623808,1.3836494023482653e-12,1.3836494023482653e-12
2212.522201525621,1.5458966395319585e-12,1.5458966395319585e-12
2220.151588427433,1.590597301152328e-12,1.590597301152328e-12
2227.780975329246,1.5088056620551643e-12,1.5088056620551643e-12
2235.410362231058,1.6656124926350906e-12,1.6656124926350906e-12
2243.039749132871,1.6575608748273191e-12,1.6575608748273191e-12
2250.669136034683,1.7400623989917756e-12,1.7400623989917756e-12
2258.298522936496,1.0554096847064233e-12,1.0554096847064233e-12
2265.927909838308,1.2304972926505939e-12,1.2304972926505939e-12
2273.557296740121,1.6601646202168001e-12,1.6601646202168001e-12
2281.186683641933,8.613209139661765e-13,8.613209139661765e-13
2288.816070543746,1.4718029235195421e-12,1.4718029235195421e-12
2296.445457445558,1.4362641431455472e-12,1.4362641431455472e-12
2304.074844347371,1.0486412345223854e-12,1.0486412345223854e-12
2311.704231249183,1.1792220789436366e-12,1.1792220789436366e-12
2319.3336181509953,9.283990038618421e-13,9.283990038618421e-13
2326.963005052808,9.912867131026092e-13,9.912867131026092e-13
2334.5923919546203,1.2601321794740845e-12,1.2601321794740845e-12
2342.221778856433,1.5380051945311294e-12,1.5380051945311294e-12
2349.8511657582453,1.24420154796102e-12,1.24420154796102e-12
2357.480552660058,9.292610836243111e-13,9.292610836243111e-13
2365.1099395618703,1.2387388462134412e-12,1.2387388462134412e-12
2372.739326463683,1.6166315731476432e-12,1.6166315731476432e-12
2380.3687133654953,9.43672197371195e-13,9.43672197371195e-13
2387.998100267308,1.987564683841528e-12,1.987564683841528e-12
2395.6274871691203,3.850243322228743e-12,3.850243322228743e-12
2403.256874070933,2.1299687364570704e-12,2.1299687364570704e-12
2410.8862609727453,1.2313070235823457e-12,1.2313070235823457e-12
2418.515647874558,1.5296135733761789e-12,1.5296135733761789e-12
2426.1450347763703,1.289920044213835e-12,1.289920044213835e-12
2433.774421678183,2.1130110174257946e-12,2.1130110174257946e-12
2441.4038085799953,1.473959208481295e-12,1.473959208481295e-12
2449.033195481808,7.378350292501906e-13,7.378350292501906e-13
2456.6625823836202,6.154220016465141e-13,6.154220016465141e-13
2464.291969285433,8.701815389370422e-13,8.701815389370422e-13
2471.9213561872452,1.3987692952896651e-12,1.3987692952896651e-12
2479.550743089058,1.3859559197262873e-12,1.3859559197262873e-12
2487.1801299908702,1.1390389839099965e-12,1.1390389839099965e-12
2494.8095168926825,1.3143454851528717e-12,1.3143454851528717e-12
2502.438903794495,2.018643344954311e-12,2.018643344954311e-12
